AARS
AARS2
ABAT
ABCA12
ABCA4
ABCB4
ABCC1
ABCC6
ABCC8
ABCC9
ABHD11
ABL1
ABL2
ACACA
ACAD8
ACADM
ACADS
ACADVL
ACD
ACKR3
ACO2
ACOT2
ACSM5
ACTA2
ACTB
ACTG1
ACTG2
ACTN2
ACVRL1
ADA2
ADAM17
ADAMTS2
ADAMTSL4
ADAR
ADAT2
ADCK3
ADGRB1
ADGRV1
ADNP
ADPRHL2
ADRA2B
ADSL
ADSSL1
AFF4
AFG3L2
AGAP2
AGL
AGRN
AGTPBP1
AHDC1
AHNAK2
AICDA
AIMP1
AIRE
AKAP9
AKT3
ALDH18A1
ALDH1B1
ALDH3A2
ALDH5A1
ALDH7A1
ALDOA
ALDOB
ALG1
ALG13
ALG2
ALMS1
ALOXE3
ALPK3
ALPL
AMPD1
AMPD2
AMT
ANK2
ANK3
ANKRD1
ANKRD11
ANKRD17
ANKRD26
ANLN
ANO5
AP1S2
AP2B1
AP3B1
AP4S1
AP5Z1
APC
APOB
AR
ARFGEF2
ARG1
ARHGEF15
ARHGEF9
ARID1A
ARID1B
ARID2
ARID4B
ARPC4
ARSA
ARSE
ARX
ASAH1
ASH1L
ASPA
ASPM
ASS1
ASTN1
ASXL3
ASXL3 
ATAD3A
ATM
ATP13A2
ATP1A2
ATP1A4
ATP2A1
ATP2B1
ATP2B2
ATP5SL
ATP7A
ATP7B
ATR 
ATRX
AVPR2
AXIN2
B3GALT6
B4GALNT1
B4GALNT4
B4GALT7
B4GAT1
BAP1
BARD1
BAZ1B
BBS1
BCAP31
BCHE
BCKDHB
BCL11B
BICD2
BIN1
BLNK
BMPR1A
BMPR1B
BPTF
BRAF
BRAT1
BRCA1
BRCA2
BRIP1
BRPF1
BRWD1
BRWD3
BTD
C12orf65
C16orf74
C17orf66
C19orf12
C1orf110
C1orf168
C1QC
C1QTNF5
C20ORF7
CACHD1
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1G
CACNA1H
CACNA2D3
CACNAIA
CACNB2
CACNB4
CALML4
CAMK2G
CAMSAP1
CAMTA1
CAPG
CAPN3
CARD11
CARD14
CARS2
CASK
CASP10
CASP8
CASQ2
CASR
CATSPER4
CBL
CBS
CC2D1A
CCBE1
CCDC141
CCDC22
CCDC40
CCDC88C
CCNK
CD19
CD79B
CDC73
CDH1
CDH23
CDK11A
CDK13
CDK5RAP2
CDK8
CDKL5
CDKN2A
CDT1
CEBPA
CEP135
CEP152
CEP290
CFTR
CHAMP1
CHAT
CHCHD10
CHD2
CHD3
CHD4
CHD5
CHD7
CHD8
CHEK2
CHIT1
CHKB
CHM
CHMP2B
CHN1
CHRNA2
CHRNA4
CHRNB2
CHRNG
CHST14
CIITA
CIT
CIZ1
CLCN1
CLCN4
CLCN7
CLDN16
CLN5
CLN8
CLPP
CLRN1
CLTC
CLUH
CNGA1
CNOT1
CNOT3
CNTNAP2
COASY
COG4
COG6
COG7
COL11A1
COL11A2
COL11A2P1
COL12A1
COL15A1
COL17A1
COL1A1
COL1A2
COL2A1
COL3A1
COL4A1
COL4A2
COL4A3BP
COL4A4
COL4A5
COL4A6
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL7A1
COL9A1
COL9A2
COL9A3
COPA
COQ7
COQ8A
CORO1A
CPNE6
CPOX
CPS1
CPT2
CR2
CRADD
CRAT
CREBBP
CRTAP
CRTC2
CSF1R
CSF2RA
CSMD3
CSNK2A1
CSNK2B
CSTB
CTC1
CTCF
CTLA4
CTNNB1
CTR9
CTSC
CTSF
CUBN
CUL4B
CUX1
CYBA
CYP11B2
CYP17A1
CYP1B1
CYP21A2
CYP27A1
CYP2D6
CYP3A5
CYP7B1
DAG1
DARS2
DCAF8
DCHS1
DCLRE1C
DCTN1
DDHD1
DDOST
DDX11
DDX17
DDX3X
DEAF1
DEPDC5
DES
DGKZ
DGUOK
DHCR7
DHTKD1
DHX29
DIABLO
DICER1
DIP2C
DLG3
DLGAP2
DMD
DNAH1
DNAH10
DNAH14
DNAJB13
DNAJB6
DNAJC19
DNM1
DNMT1
DNMT3A
DNMT3B
DOCK10
DOCK2
DOCK6
DOCK8
DOK7
DOPEY2
DPAGT1
DPYD
DRP2
DSC2
DSCAM
DSG2
DSG4
DSP
DSPP
DST
DTNA
DVL1
DYNC1H1
DYNC2H1
DYRK1A
DYRK1A  
DYSF
DYTN
EARS2
EBF3
ECHS1
EDNRB
EEF1A2
EEF2
EFCAB5
EFHC1
EGFR
EIF2B2
EIF2B5
ELK1
ELN
ELP2
ELP3
EMC1
EMILIN1
ENO3
EP300
EPB41
EPCAM
EPG5
EPHB2
EPS8
ERBB4
ESPN
ETFDH
ETHE1
EXOSC8
EXT1
EXT2
EYA1
EZH2
F11
F5
FAM111A
FAM117B
FAM84B
FANCA
FANCC
FANCE
FANCM
FAS
FASLG
FASN
FAT1
FAT4
FBLN5
FBN1
FBN2
FBP1
FBXO11
FBXO38
FBXW11
FDPS
FERMT1
FGF12
FGF8
FGFR3
FH
